,cardname,text,cmc,type
9328,Giant Spectacle,"Enchant creature
Enchanted creature gets +2/+1 and has menace.",2.0,Enchantment — Aura
9329,Ashiok's Skulker,{3}{U}: Ashiok's Skulker can't be blocked this turn.,5.0,Creature — Nightmare
9330,Cat Burglar,"{2}{B}, {T}: Target player discards a card. Activate only as a sorcery.",4.0,Creature — Kor Rogue Minion
9331,Iroas's Champion,Double strike (This creature deals both first-strike and regular combat damage.),3.0,Creature — Human Soldier
9332,Hobbit's Sting,"Hobbit's Sting deals X damage to target creature, where X is the number of creatures you control plus the number of Foods you control.",2.0,Instant
9333,Arnjlot's Ascent,"Cumulative upkeep {U} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
{1}: Target creature gains flying until end of turn.",3.0,Enchantment
9334,Underworld Connections,"Enchant land
Enchanted land has ""{T}, Pay 1 life: Draw a card.""",3.0,Enchantment — Aura
9335,Congregation at Dawn,"Search your library for up to three creature cards, reveal them, then shuffle and put those cards on top in any order.",3.0,Instant
9336,Spring of Eternal Peace,You gain 8 life.,5.0,Sorcery
9337,Gumdrop Poisoner // Tempt with Treats,None,3.0,Creature — Human Warlock // Instant — Adventure
9338,"Pang Tong, ""Young Phoenix""","{T}: Target creature gets +0/+2 until end of turn. Activate only during your turn, before attackers are declared.",3.0,Legendary Creature — Human Advisor
9339,Dauntless Survivor,"When Dauntless Survivor enters the battlefield, put a +1/+1 counter on target creature.",2.0,Creature — Human Warrior
9340,Ghosts of the Innocent,"If a source would deal damage to a permanent or player, it deals half that damage, rounded down, to that permanent or player instead.",7.0,Creature — Spirit
9341,Blinding Light,Tap all nonwhite creatures.,3.0,Sorcery
9342,Arcbound Reclaimer,"Remove a +1/+1 counter from Arcbound Reclaimer: Put target artifact card from your graveyard on top of your library.
Modular 2 (This creature enters the battlefield with two +1/+1 counters on it. When it dies, you may put its +1/+1 counters on target artifact creature.)",4.0,Artifact Creature — Golem
9343,Peace and Quiet,Destroy two target enchantments.,2.0,Instant
9344,Overwhelming Forces,Destroy all creatures target opponent controls. Draw a card for each creature destroyed this way.,8.0,Sorcery
9345,Combine Guildmage,"{1}{G}, {T}: This turn, each creature you control enters the battlefield with an additional +1/+1 counter on it.
{1}{U}, {T}: Move a +1/+1 counter from target creature you control onto another target creature you control.",2.0,Creature — Merfolk Wizard
9346,Withstand,"Prevent the next 3 damage that would be dealt to any target this turn.
Draw a card.",3.0,Instant
9347,Titan's Revenge,"Titan's Revenge deals X damage to any target. Clash with an opponent. If you win, return Titan's Revenge to its owner's hand. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)",2.0,Sorcery
9348,"Graaz, Unstoppable Juggernaut","Juggernauts you control attack each combat if able.
Juggernauts you control can't be blocked by Walls.
Other creatures you control have base power and toughness 5/3 and are Juggernauts in addition to their other creature types.",8.0,Legendary Artifact Creature — Juggernaut
9349,Necromantic Thirst,"Enchant creature
Whenever enchanted creature deals combat damage to a player, you may return target creature card from your graveyard to your hand.",4.0,Enchantment — Aura
9350,Become Brutes,"One or two target creatures each gain haste until end of turn. For each of those creatures, create a Monster Role token attached to it. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has trample.)",2.0,Sorcery
9351,Hollow Warrior,Hollow Warrior can't attack or block unless you tap an untapped creature you control not declared as an attacking or blocking creature this combat. (This cost is paid as attackers or blockers are declared.),4.0,Artifact Creature — Golem Warrior
9352,Horn of Ramos,"{T}: Add {G}.
Sacrifice Horn of Ramos: Add {G}.",3.0,Artifact
9353,Isperia the Inscrutable,"Flying
Whenever Isperia the Inscrutable deals combat damage to a player, choose a card name. That player reveals their hand. If a card with the chosen name is revealed this way, search your library for a creature card with flying, reveal it, put it into your hand, then shuffle.",5.0,Legendary Creature — Sphinx
9354,Orzhov Guildgate,"Orzhov Guildgate enters the battlefield tapped.
{T}: Add {W} or {B}.",0.0,Land — Gate
9355,Introduction to Annihilation,Exile target nonland permanent. Its controller draws a card.,5.0,Sorcery — Lesson
9356,Foe-Razer Regent,"Flying
When Foe-Razer Regent enters the battlefield, you may have it fight target creature you don't control.
Whenever a creature you control fights, put two +1/+1 counters on it at the beginning of the next end step.",7.0,Creature — Dragon
9357,Totem Speaker,"Whenever a Beast enters the battlefield, you may gain 3 life.",5.0,Creature — Elf Druid
9358,Merciless Eternal,"Afflict 2 (Whenever this creature becomes blocked, defending player loses 2 life.)
{2}{B}, Discard a card: Merciless Eternal gets +2/+2 until end of turn.",3.0,Creature — Zombie Cleric
9359,Carrion Thrash,"When Carrion Thrash dies, you may pay {2}. If you do, return another target creature card from your graveyard to your hand.",5.0,Creature — Viashino Warrior
9360,Choking Miasma,"Kicker {G} (You may pay an additional {G} as you cast this spell.)
If this spell was kicked, put a +1/+1 counter on a creature you control.
All creatures get -2/-2 until end of turn.",3.0,Sorcery
9361,Shielded Aether Thief,"Flash (You may cast this spell any time you could cast an instant.)
Whenever Shielded Aether Thief blocks, you get {E} (an energy counter).
{T}, Pay {E}{E}{E}: Draw a card.",2.0,Creature — Vedalken Rogue
9362,Humiliate,Target opponent reveals their hand. You choose a nonland card from it. That player discards that card. Put a +1/+1 counter on a creature you control.,2.0,Sorcery
9363,Wildfire Cerberus,"{5}{R}{R}: Monstrosity 1. (If this creature isn't monstrous, put a +1/+1 counter on it and it becomes monstrous.)
When Wildfire Cerberus becomes monstrous, it deals 2 damage to each opponent and each creature they control.",5.0,Creature — Dog
9364,Benthic Infiltrator,"Devoid (This card has no color.)
Ingest (Whenever this creature deals combat damage to a player, that player exiles the top card of their library.)
Benthic Infiltrator can't be blocked.",3.0,Creature — Eldrazi Drone
9365,"Anikthea, Hand of Erebos","Menace
Other enchantment creatures you control have menace.
Whenever Anikthea enters the battlefield or attacks, exile up to one target non-Aura enchantment card from your graveyard. Create a token that's a copy of that card, except it's a 3/3 black Zombie creature in addition to its other types.",5.0,Legendary Enchantment Creature — Demigod
9366,Reborn Hope,Return target multicolored card from your graveyard to your hand.,2.0,Sorcery
9367,Recross the Paths,"Reveal cards from the top of your library until you reveal a land card. Put that card onto the battlefield and the rest on the bottom of your library in any order. Clash with an opponent. If you win, return Recross the Paths to its owner's hand. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)",3.0,Sorcery
9368,Bladehold War-Whip,"For Mirrodin! (When this Equipment enters the battlefield, create a 2/2 red Rebel creature token, then attach this to it.)
Equip abilities you activate of other Equipment cost {1} less to activate.
Equipped creature has double strike.
Equip {3}{R}{W}",3.0,Artifact — Equipment
9369,Avian Oddity,"Flying
Cycling {2}{U} ({2}{U}, Discard this card: Draw a card.)
When you cycle Avian Oddity, put a flying counter on target creature you control.",4.0,Creature — Bird
9370,Burning Shield Askari,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)
{R}{R}: Burning Shield Askari gains first strike until end of turn.",3.0,Creature — Human Knight
9371,Grixis Panorama,"{T}: Add {C}.
{1}, {T}, Sacrifice Grixis Panorama: Search your library for a basic Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.",0.0,Land
9372,Ojutai's Command,"Choose two —
• Return target creature card with mana value 2 or less from your graveyard to the battlefield.
• You gain 4 life.
• Counter target creature spell.
• Draw a card.",4.0,Instant
9373,In the Presence of Ages,Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard.,3.0,Instant
9374,Shoulder to Shoulder,"Support 2. (Put a +1/+1 counter on each of up to two target creatures.)
Draw a card.",3.0,Sorcery
9375,Avacynian Missionaries // Lunarch Inquisitors,None,4.0,Creature — Human Cleric // Creature — Human Cleric
9376,Makeshift Mauler,"As an additional cost to cast this spell, exile a creature card from your graveyard.",4.0,Creature — Zombie Horror
9377,Arrogant Vampire,Flying,5.0,Creature — Vampire
9378,Experimental Aviator,"Flying
When Experimental Aviator enters the battlefield, create two 1/1 colorless Thopter artifact creature tokens with flying.",5.0,Creature — Human Artificer
9379,Disrupting Shoal,"You may exile a blue card with mana value X from your hand rather than pay this spell's mana cost.
Counter target spell if its mana value is X.",2.0,Instant — Arcane
9380,Phyrexian Prowler,"Fading 3 (This creature enters the battlefield with three fade counters on it. At the beginning of your upkeep, remove a fade counter from it. If you can't, sacrifice it.)
Remove a fade counter from Phyrexian Prowler: Phyrexian Prowler gets +1/+1 until end of turn.",4.0,Creature — Phyrexian Zombie Mercenary
9381,Hot Pursuit,"When Hot Pursuit enters the battlefield, suspect target creature an opponent controls. As long as Hot Pursuit remains on the battlefield, that creature is also goaded.
At the beginning of combat on your turn, if two or more players have lost the game, gain control of all goaded and/or suspected creatures until end of turn. Untap them. They gain haste until end of turn.",2.0,Enchantment
9382,Champion of the Flame,"Trample
Champion of the Flame gets +2/+2 for each Aura and Equipment attached to it.",2.0,Creature — Human Warrior
9383,Murderous Spoils,Destroy target nonblack creature. It can't be regenerated. You gain control of all Equipment that were attached to it. (This effect lasts indefinitely.),6.0,Instant
9384,Gempalm Strider,"Cycling {2}{G}{G} ({2}{G}{G}, Discard this card: Draw a card.)
When you cycle Gempalm Strider, Elf creatures get +2/+2 until end of turn.",2.0,Creature — Elf
9385,Dungeon Crawler,"Dungeon Crawler enters the battlefield tapped.
Whenever you complete a dungeon, you may return Dungeon Crawler from your graveyard to your hand.",1.0,Creature — Zombie
9386,Animus of Predation,"Draft Animus of Predation face up.
As you draft a card, you may remove it from the draft face up. (It isn't in your card pool.)
If you removed a creature card with flying from the draft with cards named Animus of Predation, Animus of Predation has flying. The same is true for first strike, double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, reach, and vigilance.",5.0,Creature — Avatar
9387,Nahiri's Sacrifice,"As an additional cost to cast this spell, sacrifice an artifact or creature with mana value X.
Nahiri's Sacrifice deals X damage divided as you choose among any number of target creatures.",2.0,Sorcery
9388,Leechridden Swamp,"({T}: Add {B}.)
Leechridden Swamp enters the battlefield tapped.
{B}, {T}: Each opponent loses 1 life. Activate only if you control two or more black permanents.",0.0,Land — Swamp
9389,"Sram, Senior Edificer","Whenever you cast an Aura, Equipment, or Vehicle spell, draw a card.",2.0,Legendary Creature — Dwarf Advisor
9390,New Blood,"As an additional cost to cast this spell, tap an untapped Vampire you control.
Gain control of target creature. Change the text of that creature by replacing all instances of one creature type with Vampire.",4.0,Sorcery
9391,Hammerhand,"Enchant creature
When Hammerhand enters the battlefield, target creature can't block this turn.
Enchanted creature gets +1/+1 and has haste.",1.0,Enchantment — Aura
9392,Folk of An-Havva,"Whenever Folk of An-Havva blocks, it gets +2/+0 until end of turn.",1.0,Creature — Human
9393,Arcane Denial,"Counter target spell. Its controller may draw up to two cards at the beginning of the next turn's upkeep.
You draw a card at the beginning of the next turn's upkeep.",2.0,Instant
9394,Decree of Silence,"Whenever an opponent casts a spell, counter that spell and put a depletion counter on Decree of Silence. If there are three or more depletion counters on Decree of Silence, sacrifice it.
Cycling {4}{U}{U} ({4}{U}{U}, Discard this card: Draw a card.)
When you cycle Decree of Silence, you may counter target spell.",8.0,Enchantment
9395,Dross Skullbomb,"{1}, Sacrifice Dross Skullbomb: Draw a card.
{2}{B}, Sacrifice Dross Skullbomb: Return target creature card from your graveyard to your hand. Draw a card. Activate only as a sorcery.",1.0,Artifact
9396,Gaze of Granite,Destroy each nonland permanent with mana value X or less.,3.0,Sorcery
9397,Soulsworn Jury,"Defender (This creature can't attack.)
{1}{U}, Sacrifice Soulsworn Jury: Counter target creature spell.",3.0,Creature — Spirit
9398,Rona's Vortex,"Kicker {2}{B} (You may pay an additional {2}{B} as you cast this spell.)
Return target creature or planeswalker you don't control to its owner's hand. If this spell was kicked, put that permanent on the bottom of its owner's library instead.",1.0,Instant
9399,Bonder's Ornament,"{T}: Add one mana of any color.
{4}, {T}: Each player who controls a permanent named Bonder's Ornament draws a card.",3.0,Artifact
9400,Ghost Town,"{T}: Add {C}.
{0}: Return Ghost Town to its owner's hand. Activate only if it's not your turn.",0.0,Land
9401,Oashra Cultivator,"{2}{G}, {T}, Sacrifice Oashra Cultivator: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",1.0,Creature — Human Druid
9402,"Nissa, Worldwaker","+1: Target land you control becomes a 4/4 Elemental creature with trample. It's still a land.
+1: Untap up to four target Forests.
−7: Search your library for any number of basic land cards, put them onto the battlefield, then shuffle. Those lands become 4/4 Elemental creatures with trample. They're still lands.",5.0,Legendary Planeswalker — Nissa
9403,Silver Knight,"First strike, protection from red",2.0,Creature — Human Knight
9404,Vedalken Aethermage,"Flash (You may cast this spell any time you could cast an instant.)
When Vedalken Aethermage enters the battlefield, return target Sliver to its owner's hand.
Wizardcycling {3} ({3}, Discard this card: Search your library for a Wizard card, reveal it, put it into your hand, then shuffle.)",2.0,Creature — Vedalken Wizard
9405,Kithkin Zephyrnaut,"Kinship — At the beginning of your upkeep, you may look at the top card of your library. If it shares a creature type with Kithkin Zephyrnaut, you may reveal it. If you do, Kithkin Zephyrnaut gets +2/+2 and gains flying and vigilance until end of turn.",3.0,Creature — Kithkin Soldier
9406,Orzhov Euthanist,"Haunt (When this creature dies, exile it haunting target creature.)
When Orzhov Euthanist enters the battlefield or the creature it haunts dies, destroy target creature that was dealt damage this turn.",3.0,Creature — Human Assassin
9407,Mirelurk Queen,"Vigilance
When Mirelurk Queen enters the battlefield, target player gets two rad counters.
Whenever one or more nonland cards are milled, draw a card, then put a +1/+1 counter on Mirelurk Queen. This ability triggers only once each turn.",5.0,Creature — Crab Mutant
9408,Merfolk Observer,"When Merfolk Observer enters the battlefield, look at the top card of target player's library.",2.0,Creature — Merfolk Rogue
9409,Lowland Tracker,"First strike
Provoke (Whenever this creature attacks, you may have target creature defending player controls untap and block it if able.)",5.0,Creature — Human Soldier
9410,Grazing Whiptail,Reach,4.0,Creature — Dinosaur
9411,Maze Skullbomb,"{1}, Sacrifice Maze Skullbomb: Draw a card.
{2}{G}, Sacrifice Maze Skullbomb: Target creature you control gets +3/+3 and gains trample until end of turn. Draw a card. Activate only as a sorcery.",1.0,Artifact
9412,Empty City Ruse,Target opponent skips all combat phases of their next turn.,1.0,Sorcery
9413,Hollowhenge Overlord,"Flash
At the beginning of your upkeep, for each creature you control that's a Wolf or a Werewolf, create a 2/2 green Wolf creature token.",6.0,Creature — Wolf
9414,Bane's Invoker,Wind Walk — {8}: Up to two target creatures each get +2/+2 and gain flying until end of turn.,2.0,Creature — Human Cleric
9415,Nimbus of the Isles,Flying (This creature can't be blocked except by creatures with flying or reach.),5.0,Creature — Elemental
9416,"Harald, King of Skemfar","Menace (This creature can't be blocked except by two or more creatures.)
When Harald, King of Skemfar enters the battlefield, look at the top five cards of your library. You may reveal an Elf, Warrior, or Tyvar card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",3.0,Legendary Creature — Elf Warrior
9417,"Losheel, Clockwork Scholar","Prevent all combat damage that would be dealt to attacking artifact creatures you control.
Whenever one or more artifact creatures enter the battlefield under your control, draw a card. This ability triggers only once each turn.",3.0,Legendary Creature — Elephant Artificer
9418,Illuminator Virtuoso,"Double strike
Whenever Illuminator Virtuoso becomes the target of a spell you control, it connives. (Draw a card, then discard a card. If you discarded a nonland card, put a +1/+1 counter on this creature.)",2.0,Creature — Human Rogue
9419,Mox Opal,Metalcraft — {T}: Add one mana of any color. Activate only if you control three or more artifacts.,0.0,Legendary Artifact
9420,Munda's Vanguard,"Cohort — {T}, Tap an untapped Ally you control: Put a +1/+1 counter on each creature you control.",5.0,Creature — Kor Knight Ally
9421,Phyrexian Crusader,"First strike, protection from red and from white
Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)",3.0,Creature — Phyrexian Zombie Knight
9422,Axelrod Gunnarson,"Trample
Whenever a creature dealt damage by Axelrod Gunnarson this turn dies, you gain 1 life and Axelrod deals 1 damage to target player or planeswalker.",8.0,Legendary Creature — Giant
9423,Mental Discipline,"{1}{U}, Discard a card: Draw a card.",3.0,Enchantment
9424,"Mavinda, Students' Advocate","Flying
{0}: You may cast target instant or sorcery card from your graveyard this turn. If that spell doesn't target a creature you control, it costs {8} more to cast this way. If that spell would be put into your graveyard, exile it instead. Activate only once each turn. (You still pay the spell's costs. Timing rules for the spell still apply.)",3.0,Legendary Creature — Bird Advisor
9425,Rouse the Mob,"Strive — This spell costs {2}{R} more to cast for each target beyond the first.
Any number of target creatures each get +2/+0 and gain trample until end of turn.",1.0,Instant
9426,Go Blank,Target player discards two cards. Then exile that player's graveyard.,3.0,Sorcery
9427,Respite,Prevent all combat damage that would be dealt this turn. You gain 1 life for each attacking creature.,2.0,Instant
9428,Binding Geist // Spectral Binding,None,3.0,Creature — Spirit // Enchantment — Aura
9429,Footsteps of the Goryo,Return target creature card from your graveyard to the battlefield. Sacrifice that creature at the beginning of the next end step.,3.0,Sorcery — Arcane
9430,Plumb the Forbidden,"As an additional cost to cast this spell, you may sacrifice one or more creatures. When you do, copy this spell for each creature sacrificed this way.
You draw a card and you lose 1 life.",2.0,Instant
9431,Forger's Foundry,"{T}: Add {U}. When you spend this mana to cast an instant or sorcery spell with mana value 3 or less, you may exile that spell instead of putting it into its owner's graveyard as it resolves.
{3}{U}{U}, {T}: You may cast any number of spells from among cards exiled with Forger's Foundry without paying their mana costs. Activate only as a sorcery.",3.0,Artifact
9432,Minotaur Sureshot,"Reach (This creature can block creatures with flying.)
{1}{R}: Minotaur Sureshot gets +1/+0 until end of turn.",3.0,Creature — Minotaur Archer
9433,Era of Innovation,"Whenever an artifact or Artificer enters the battlefield under your control, you may pay {1}. If you do, you get {E}{E} (two energy counters).
Pay {E}{E}{E}{E}{E}{E}, Sacrifice Era of Innovation: Draw three cards.",2.0,Enchantment
9434,Defiler of Instinct,"First strike
As an additional cost to cast red permanent spells, you may pay 2 life. Those spells cost {R} less to cast if you paid life this way. This effect reduces only the amount of red mana you pay.
Whenever you cast a red permanent spell, Defiler of Instinct deals 1 damage to any target.",4.0,Creature — Phyrexian Kavu
9435,Grey Knight Paragon,"Flash
Rites of Banishment — When Grey Knight Paragon enters the battlefield, destroy target attacking creature. If that creature is a Demon, exile it instead.",5.0,Creature — Astartes Knight
9436,Into the Fae Court,"Draw three cards. Create a 1/1 blue Faerie creature token with flying and ""This creature can block only creatures with flying.""",5.0,Sorcery
9437,Necrotic Ooze,"As long as Necrotic Ooze is on the battlefield, it has all activated abilities of all creature cards in all graveyards.",4.0,Creature — Ooze
9438,Segovian Leviathan,Islandwalk (This creature can't be blocked as long as defending player controls an Island.),5.0,Creature — Leviathan
9439,Mishra's Factory,"{T}: Add {C}.
{1}: Mishra's Factory becomes a 2/2 Assembly-Worker artifact creature until end of turn. It's still a land.
{T}: Target Assembly-Worker creature gets +1/+1 until end of turn.",0.0,Land
9440,Scion of Vitu-Ghazi,"When Scion of Vitu-Ghazi enters the battlefield, if you cast it from your hand, create a 1/1 white Bird creature token with flying, then populate. (Create a token that's a copy of a creature token you control.)",5.0,Creature — Elemental
9441,Almighty Brushwagg,"Trample
{3}{G}: Almighty Brushwagg gets +3/+3 until end of turn.",1.0,Creature — Brushwagg
9442,Break of Day,"Creatures you control get +1/+1 until end of turn.
Fateful hour — If you have 5 or less life, those creatures gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)",2.0,Instant
9443,Enshrouding Mist,"Target creature gets +1/+1 until end of turn. Prevent all damage that would be dealt to it this turn. If it's renowned, untap it.",1.0,Instant
9444,Into the Core,Exile two target artifacts.,4.0,Instant
9445,Servo Schematic,"When Servo Schematic enters the battlefield or is put into a graveyard from the battlefield, create a 1/1 colorless Servo artifact creature token.",2.0,Artifact
9446,Read the Bones,"Scry 2, then draw two cards. You lose 2 life.",3.0,Sorcery
9447,Ethereal Forager,"Delve (Each card you exile from your graveyard while casting this spell pays for {1}.)
Flying
Whenever Ethereal Forager attacks, you may return an instant or sorcery card exiled with Ethereal Forager to its owner's hand.",6.0,Creature — Elemental Whale
9448,Pious Wayfarer,"Constellation — Whenever an enchantment enters the battlefield under your control, target creature gets +1/+1 until end of turn.",1.0,Creature — Human Scout
9449,Bronzebeak Moa,"Whenever another creature enters the battlefield under your control, Bronzebeak Moa gets +3/+3 until end of turn.",4.0,Creature — Bird
9450,Gaseous Form,"Enchant creature
Prevent all combat damage that would be dealt to and dealt by enchanted creature.",3.0,Enchantment — Aura
9451,"Galadriel, Gift-Giver","Whenever Galadriel, Gift-Giver enters the battlefield or attacks, choose one —
• Put a +1/+1 counter on another target creature.
• Create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")
• Create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."")",5.0,Legendary Creature — Elf Noble
9452,Scythe Leopard,"Landfall — Whenever a land enters the battlefield under your control, Scythe Leopard gets +1/+1 until end of turn.",1.0,Creature — Cat
9453,Crisis of Conscience,"Choose one —
• Destroy all tokens.
• Destroy all nonland, nontoken permanents.",6.0,Sorcery
9454,Disrupt,"Counter target instant or sorcery spell unless its controller pays {1}.
Draw a card.",1.0,Instant
9455,Brightclimb Pathway // Grimclimb Pathway,None,0.0,Land // Land
9456,Ballista Charger,"Whenever Ballista Charger attacks, it deals 1 damage to any target.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)",5.0,Artifact — Vehicle
9457,Manic Vandal,"When Manic Vandal enters the battlefield, destroy target artifact.",3.0,Creature — Human Warrior
9458,Returned Centaur,"When Returned Centaur enters the battlefield, target player mills four cards.",4.0,Creature — Zombie Centaur
9459,Windfall,"Each player discards their hand, then draws cards equal to the greatest number of cards a player discarded this way.",3.0,Sorcery
9460,March of Otherworldly Light,"As an additional cost to cast this spell, you may exile any number of white cards from your hand. This spell costs {2} less to cast for each card exiled this way.
Exile target artifact, creature, or enchantment with mana value X or less.",1.0,Instant
9461,Haunting Hymn,"Target player discards two cards. If you cast this spell during your main phase, that player discards four cards instead.",6.0,Instant
9462,Awakening Zone,"At the beginning of your upkeep, you may create a 0/1 colorless Eldrazi Spawn creature token. It has ""Sacrifice this creature: Add {C}.""",3.0,Enchantment
9463,Chainbreaker,"Chainbreaker enters the battlefield with two -1/-1 counters on it.
{3}, {T}: Remove a -1/-1 counter from target creature.",2.0,Artifact Creature — Scarecrow
9464,Mana Vortex,"When you cast this spell, counter it unless you sacrifice a land.
At the beginning of each player's upkeep, that player sacrifices a land.
When there are no lands on the battlefield, sacrifice Mana Vortex.",3.0,Enchantment
9465,Benalish Infantry,"Banding (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",3.0,Creature — Human Soldier
9466,Ovalchase Daredevil,"Whenever an artifact enters the battlefield under your control, you may return Ovalchase Daredevil from your graveyard to your hand.",4.0,Creature — Human Pilot
9467,Eater of Days,"Flying, trample
When Eater of Days enters the battlefield, you skip your next two turns.",4.0,Artifact Creature — Leviathan
9468,Heavy Fog,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
Prevent all damage that would be dealt to you this turn by attacking creatures.",2.0,Instant
9469,Everybody Lives!,All creatures gain hexproof and indestructible until end of turn. Players gain hexproof until end of turn. Players can't lose life this turn and players can't lose the game or win the game this turn.,2.0,Instant
9470,Twist Allegiance,You and target opponent each gain control of all creatures the other controls until end of turn. Untap those creatures. Those creatures gain haste until end of turn.,7.0,Sorcery
9471,Blight Mamba,"Infect (This creature deals damage to creatures in the form of -1/-1 counters and to players in the form of poison counters.)
{1}{G}: Regenerate Blight Mamba.",2.0,Creature — Phyrexian Snake
9472,Reign of the Pit,"Each player sacrifices a creature. Create an X/X black Demon creature token with flying, where X is the total power of the creatures sacrificed this way.",6.0,Sorcery
9473,General's Regalia,"{3}: The next time a source of your choice would deal damage to you this turn, that damage is dealt to target creature you control instead.",3.0,Artifact
9474,Burn the Accursed,"Burn the Accursed deals 5 damage to target creature and 2 damage to that creature's controller. If that creature would die this turn, exile it instead.",5.0,Instant
9475,Twilight's Call,"You may cast Twilight's Call as though it had flash if you pay {2} more to cast it. (You may cast it any time you could cast an instant.)
Each player returns all creature cards from their graveyard to the battlefield.",6.0,Sorcery
9476,Phantom Nomad,"Phantom Nomad enters the battlefield with two +1/+1 counters on it.
If damage would be dealt to Phantom Nomad, prevent that damage. Remove a +1/+1 counter from Phantom Nomad.",2.0,Creature — Spirit Nomad
9477,Battery Bearer,"Creatures you control have ""{T}: Add {C}. This mana can't be spent to cast a nonartifact spell.""
Whenever you cast an artifact spell with mana value 6 or greater, draw a card.",4.0,Creature — Human Artificer
9478,Clawing Torment,"Enchant artifact or creature
As long as enchanted permanent is a creature, it gets -1/-1 and can't block.
Enchanted permanent has ""At the beginning of your upkeep, you lose 1 life.""",1.0,Enchantment — Aura
9479,Daughter of Autumn,{W}: The next 1 damage that would be dealt to target white creature this turn is dealt to Daughter of Autumn instead.,4.0,Legendary Creature — Avatar
9480,Infestation Expert // Infested Werewolf,None,5.0,Creature — Human Werewolf // Creature — Werewolf
9481,Kefnet's Monument,"Blue creature spells you cast cost {1} less to cast.
Whenever you cast a creature spell, target creature an opponent controls doesn't untap during its controller's next untap step.",3.0,Legendary Artifact
9482,Lifegift,"Whenever a land enters the battlefield, you may gain 1 life.",3.0,Enchantment
9483,Thunder Spirit,"Flying, first strike",3.0,Creature — Elemental Spirit
9484,Spined Sliver,"Whenever a Sliver becomes blocked, that Sliver gets +1/+1 until end of turn for each creature blocking it.",2.0,Creature — Sliver
9485,Death Kiss,"Whenever a creature an opponent controls attacks one of your opponents, double its power until end of turn.
{X}{X}{R}: Monstrosity X. (If this creature isn't monstrous, put X +1/+1 counters on it and it becomes monstrous.)
When Death Kiss becomes monstrous, goad up to X target creatures your opponents control.",6.0,Creature — Beholder
9486,Grafted Growth,"Enchant land
When Grafted Growth enters the battlefield, put a +1/+1 counter on target creature or Vehicle you control.
Enchanted land has ""{T}: Add two mana of any one color.""",3.0,Enchantment — Aura
9487,Promise of Power,"Choose one —
• You draw five cards and you lose 5 life.
• Create an X/X black Demon creature token with flying, where X is the number of cards in your hand.
Entwine {4} (Choose both if you pay the entwine cost.)",5.0,Sorcery
9488,"Ayli, Eternal Pilgrim","Deathtouch
{1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.
{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate only if you have at least 10 life more than your starting life total.",2.0,Legendary Creature — Kor Cleric
9489,Volunteer Militia,,1.0,Creature — Human Soldier
9490,Crystalline Sliver,All Slivers have shroud. (They can't be the targets of spells or abilities.),2.0,Creature — Sliver
9491,Nettlecyst,"Living weapon (When this Equipment enters the battlefield, create a 0/0 black Phyrexian Germ creature token, then attach this to it.)
Equipped creature gets +1/+1 for each artifact and/or enchantment you control.
Equip {2}",3.0,Artifact — Equipment
9492,Curse of Opulence,"Enchant player
Whenever enchanted player is attacked, create a Gold token. Each opponent attacking that player does the same. (A Gold token is an artifact with ""Sacrifice this artifact: Add one mana of any color."")",1.0,Enchantment — Aura Curse
9493,Satyr Wayfinder,"When Satyr Wayfinder enters the battlefield, reveal the top four cards of your library. You may put a land card from among them into your hand. Put the rest into your graveyard.",2.0,Creature — Satyr
9494,Expose to Daylight,Destroy target artifact or enchantment. Scry 1.,3.0,Instant
9495,Enigma Drake,"Flying
Enigma Drake's power is equal to the number of instant and sorcery cards in your graveyard.",3.0,Creature — Drake
9496,Fiery Bombardment,"Chroma — {2}, Sacrifice a creature: Fiery Bombardment deals damage to any target equal to the number of red mana symbols in the sacrificed creature's mana cost.",2.0,Enchantment
